Sl.No,User,pre_boundary_created,pre_boundary_mod,pre_boundary_del,primary_boundary_created,primary_boundary_mod,primary_boundary_del,pre_sch_created,pre_sch_mod,pre_sch_del,primary_sch_created,primary_sch_mod,primary_sch_del,pre_stud_created,pre_stud_mod,pre_stud_del,primary_stud_created,primary_stud_mod,primary_stud_del,pre_teacher_created,pre_teacher_mod,pre_teacher_del,primary_teacher_created,primary_teacher_mod,primary_teacher_del,Assess Id,Reading-Kushtagi-Class 3 Pretest Num Of correct Entries,Reading-Kushtagi-Class 3 Pretest Num Of incorrect Entries,Reading-Kushtagi-Class 3 Pretest Num Of verified Entries,Reading-Kushtagi-Class 3 Pretest Num Of rectified Entries,Assess Id,Reading-Kushtagi-Class 4 Pretest Num Of correct Entries,Reading-Kushtagi-Class 4 Pretest Num Of incorrect Entries,Reading-Kushtagi-Class 4 Pretest Num Of verified Entries,Reading-Kushtagi-Class 4 Pretest Num Of rectified Entries,Assess Id,Reading-Kushtagi-Class 5 Pretest Num Of correct Entries,Reading-Kushtagi-Class 5 Pretest Num Of incorrect Entries,Reading-Kushtagi-Class 5 Pretest Num Of verified Entries,Reading-Kushtagi-Class 5 Pretest Num Of rectified Entries,Assess Id,Reading-Mundaragi-Class 3 Pretest Num Of correct Entries,Reading-Mundaragi-Class 3 Pretest Num Of incorrect Entries,Reading-Mundaragi-Class 3 Pretest Num Of verified Entries,Reading-Mundaragi-Class 3 Pretest Num Of rectified Entries,Assess Id,Reading-Mundaragi-Class 4 Pretest Num Of correct Entries,Reading-Mundaragi-Class 4 Pretest Num Of incorrect Entries,Reading-Mundaragi-Class 4 Pretest Num Of verified Entries,Reading-Mundaragi-Class 4 Pretest Num Of rectified Entries,Assess Id,Reading-Mundaragi-Class 5 Pretest Num Of correct Entries,Reading-Mundaragi-Class 5 Pretest Num Of incorrect Entries,Reading-Mundaragi-Class 5 Pretest Num Of verified Entries,Reading-Mundaragi-Class 5 Pretest Num Of rectified Entries,Assess Id,Mallur Anganwadi-Pretest (2-4) Num Of correct Entries,Mallur Anganwadi-Pretest (2-4) Num Of incorrect Entries,Mallur Anganwadi-Pretest (2-4) Num Of verified Entries,Mallur Anganwadi-Pretest (2-4) Num Of rectified Entries,Assess Id,Mallur Anganwadi-Pretest (4-6) Num Of correct Entries,Mallur Anganwadi-Pretest (4-6) Num Of incorrect Entries,Mallur Anganwadi-Pretest (4-6) Num Of verified Entries,Mallur Anganwadi-Pretest (4-6) Num Of rectified Entries
1,ak2gdg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,216,0,2,0,0,0,0,0,0,236,0,0,0,0,237,0,0,0,0,238,0,0,0,0,239,2371,52,1666,101,240,2409,33,1350,156,241,2019,57,1476,84,242,0,0,0,0,243,0,0,0,0
2,ak2kop,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,4,0,0,0,0,0,0,236,12,0,557,49,237,12,0,595,62,238,3,0,674,124,239,0,0,0,0,240,0,0,0,0,241,0,0,0,0,242,0,0,0,0,243,0,0,0,0
3,ak3gdg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,2,0,0,0,0,0,0,0,236,0,0,0,0,237,0,0,0,0,238,0,0,0,0,239,1176,83,998,58,240,1104,121,920,79,241,1020,76,881,46,242,0,0,0,0,243,0,0,0,0
4,ak3kop,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,236,3,0,566,31,237,0,0,467,37,238,0,0,442,17,239,0,0,0,0,240,0,0,0,0,241,0,0,0,0,242,0,0,0,0,243,0,0,0,0
5,ak4gdg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114,0,4,0,0,0,0,0,0,236,0,0,0,0,237,0,0,0,0,238,0,0,0,0,239,989,56,1414,47,240,874,47,1286,16,241,784,20,1186,32,242,0,0,0,0,243,0,0,0,0
6,ak4kop,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,236,3,0,317,31,237,6,0,283,15,238,3,0,366,6,239,0,0,0,0,240,0,0,0,0,241,0,0,0,0,242,0,0,0,0,243,0,0,0,0
7,ak6gdg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,230,1,8,0,0,0,0,0,0,236,0,0,0,0,237,0,0,0,0,238,0,0,0,0,239,1254,61,1487,40,240,1050,75,1541,25,241,1109,53,1225,44,242,0,0,0,0,243,0,0,0,0
8,ak6kop,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,236,9,0,445,23,237,9,0,749,46,238,0,0,710,28,239,0,0,0,0,240,0,0,0,0,241,0,0,0,0,242,0,0,0,0,243,0,0,0,0
9,ak7gdg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143,0,0,0,0,0,0,0,0,236,0,0,0,0,237,0,0,0,0,238,0,0,0,0,239,1473,65,1372,71,240,1341,61,1343,61,241,1282,60,1167,60,242,0,0,0,0,243,0,0,0,0
10,ak7kop,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,236,3,3,502,14,237,3,3,489,18,238,0,0,752,19,239,0,0,0,0,240,0,0,0,0,241,0,0,0,0,242,0,0,0,0,243,0,0,0,0
